prepare intput
152086
build model
training
-- line number 307372
allocated: 418M, max allocated: 418M, cached: 472M, max cached: 472M
-- batch number 0
allocated: 418M, max allocated: 418M, cached: 472M, max cached: 472M
-- batch number 1
allocated: 837M, max allocated: 4299M, cached: 4528M, max cached: 4528M
-- batch number 2
allocated: 1679M, max allocated: 4718M, cached: 5226M, max cached: 5226M
-- batch number 3
allocated: 1678M, max allocated: 5561M, cached: 6034M, max cached: 6034M
-- batch number 4
allocated: 1676M, max allocated: 5561M, cached: 6034M, max cached: 6034M
-- batch number 5
allocated: 1679M, max allocated: 5562M, cached: 6034M, max cached: 6034M
-- batch number 6
allocated: 1678M, max allocated: 5562M, cached: 6034M, max cached: 6034M
-- batch number 7
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 8
allocated: 1677M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 9
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 10
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 11
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 12
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 13
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 14
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 15
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 16
allocated: 1682M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 17
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 18
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 19
allocated: 1677M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 20
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 21
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 22
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 23
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 24
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 25
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 26
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 27
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 28
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 29
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 30
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 31
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 32
allocated: 1677M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 33
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 34
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 35
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 36
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 37
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 38
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 39
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 40
allocated: 1680M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 41
allocated: 1678M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 42
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 43
allocated: 1676M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 44
allocated: 1679M, max allocated: 5564M, cached: 6034M, max cached: 6034M
-- batch number 45
